# kF r, W(r)
2.512023022985525084e-10,-1.921470518650398124e+06
2.524782989571972004e-10,-3.273519437933989801e+06
2.537607771148487941e-10,-4.386252778383544646e+06
2.550497696946573118e-10,-5.188018010058110580e+06
2.563453097870076541e-10,-5.627603342130481265e+06
2.576474306503683911e-10,-5.677691105830067769e+06
2.589561657121495997e-10,-5.337319552566906437e+06
2.602715485695544467e-10,-4.632061657362109981e+06
2.615936129904463320e-10,-3.612905819388688542e+06
2.629223929142142233e-10,-2.352803833309725393e+06
2.642579224526445561e-10,-9.421067021715034498e+05
2.656002358907961839e-10,5.178721948336947826e+05
2.669493676878810671e-10,1.921728409776687389e+06
2.683053524781487359e-10,3.167814653173498344e+06
2.696682250717753542e-10,4.165501800271634478e+06
2.710380204557563512e-10,4.842301205688939430e+06
2.724147737948089269e-10,5.149306659346205182e+06
2.737985204322681472e-10,5.065474916249110363e+06
2.751892958909987038e-10,4.599393039920294657e+06
2.765871358743057951e-10,3.789280627702835947e+06
2.779920762668515392e-10,2.700200662613516673e+06
2.794041531355763492e-10,1.419557107143350411e+06
2.808234027306248070e-10,5.023275040615098260e+04
2.822498614862760352e-10,-1.297223840852229157e+06
2.836835660218792891e-10,-2.513687134298874531e+06
2.851245531427928592e-10,-3.500195169112171046e+06
2.865728598413333123e-10,-4.176513734798238613e+06
2.880285232977183743e-10,-4.487895396068341099e+06
2.894915808810261488e-10,-4.410290658879995346e+06
2.909620701501528899e-10,-3.952624331328972708e+06
2.924400288547778041e-10,-3.156714658117944375e+06
2.939254949363313173e-10,-2.093890589618677972e+06
2.954185065289699588e-10,-8.593514891634724336e+05
2.969191019605547091e-10,4.361590130895354669e+05
2.984273197536352417e-10,1.675863664008275606e+06
2.999431986264373177e-10,2.747658568903155159e+06
3.014667774938621758e-10,3.554244852346489206e+06
3.029980954684776491e-10,4.022544056180263869e+06
3.045371918615273776e-10,4.110675799069130793e+06
3.060841061839387793e-10,3.812555845980237238e+06
3.076388781473373804e-10,3.158793943382654339e+06
3.092015476650660051e-10,2.214464635373250581e+06
3.107721548532099114e-10,1.073077768359236419e+06
3.123507400316261133e-10,-1.520149532341696322e+05
3.139373437249774087e-10,-1.338777016933638835e+06
3.155320066637779871e-10,-2.368414853253598325e+06
3.171347697854309212e-10,-3.137641914206624962e+06
3.187456742352847866e-10,-3.569286675284810830e+06
3.203647613676881101e-10,-3.620823096630835440e+06
3.219920727470514182e-10,-3.289127204571005888e+06
3.236276501489138346e-10,-2.611547065631848760e+06
3.252715355610159853e-10,-1.662327646104670130e+06
3.269237711843774530e-10,-5.453228514340730617e+05
3.285843994343805902e-10,6.170410219577319222e+05
3.302534629418574868e-10,1.696770863690194907e+06
3.319310045541904818e-10,2.574589834348851349e+06
3.336170673364031112e-10,3.153256421523276716e+06
3.353116945722719939e-10,3.369046991392653435e+06
3.370149297654360291e-10,3.199354061720001977e+06
3.387268166405134005e-10,2.666044622224798892e+06
3.404473991442236983e-10,1.833384442573359469e+06
3.421767214465170208e-10,8.012309753578708041e+05
3.439148279417069019e-10,-3.064973864811485400e+05
3.456617632496103723e-10,-1.356216333116089692e+06
3.474175722166922091e-10,-2.220908385863599833e+06
3.491822999172213859e-10,-2.795639832748383749e+06
3.509559916544201303e-10,-3.011022859541342128e+06
3.527386929616324711e-10,-2.842253962179510854e+06
3.545304496034917010e-10,-2.313030239339464810e+06
3.563313075770950240e-10,-1.493068732466679532e+06
3.581413131131848217e-10,-4.899159973539149505e+05
3.599605126773349852e-10,5.646634014155281475e+05
3.617889529711442778e-10,1.531535375046780566e+06
3.636266809334345586e-10,2.282719215168406721e+06
3.654737437414550016e-10,2.718585205566724762e+06
3.673301888120985686e-10,2.781900856415411923e+06
3.691960638031108305e-10,2.466134778546704445e+06
3.710714166143189502e-10,1.817213273815858644e+06
3.729562953888602531e-10,9.277155616013492690e+05
3.748507485144176214e-10,-7.539869398592802463e+04
3.767548246244622294e-10,-1.048528728725912166e+06
3.786685725995016037e-10,-1.851744307987419423e+06
3.805920415683347669e-10,-2.369314283532324247e+06
3.825252809093118267e-10,-2.526924154609398916e+06
3.844683402516076785e-10,-2.303412366828981321e+06
3.864212694764867137e-10,-1.734571254015760496e+06
3.883841187185897050e-10,-9.086555368971952703e+05
3.903569383672194010e-10,4.648982978330734477e+04
3.923397790676337192e-10,9.824958882464917842e+05
3.943326917223462291e-10,1.753441153590748552e+06
3.963357274924327875e-10,2.238762002359229606e+06
3.983489377988447392e-10,2.362912196305235382e+06
4.003723743237294078e-10,2.108028706546208356e+06
4.024060890117546183e-10,1.517757234555362957e+06
4.044501340714493503e-10,6.908510381828503450e+05
4.065045619765336376e-10,-2.343013413882731984e+05
