# kF r, W(r)
5.914227009630426947e-10,5.969623497946385760e+05
5.944268668618829295e-10,-1.450059467221218219e+05
5.974462925955784622e-10,-8.251786255540708080e+05
6.004810556773497939e-10,-1.201851193436888047e+06
6.035312340141436095e-10,-1.141519056185830152e+06
6.065969059086411731e-10,-6.687995199099269230e+05
6.096781500612674456e-10,4.048609783413781406e+04
6.127750455722100261e-10,7.223475407158927992e+05
6.158876719434514315e-10,1.122130346767064417e+06
6.190161090808081995e-10,1.090745640100916382e+06
6.221604372959836412e-10,6.429181276818768820e+05
6.253207373086288649e-10,-4.630892451008146600e+04
6.284970902484124852e-10,-7.074667353432970122e+05
6.316895776571137002e-10,-1.081185716387613444e+06
6.348982814907003762e-10,-1.021128106318361941e+06
6.381232841214429076e-10,-5.540700211203630315e+05
6.413646683400264224e-10,1.286345469844421459e+05
6.446225173576760165e-10,7.469733633816398215e+05
6.478969148082931538e-10,1.046522582042430760e+06
6.511879447506026141e-10,9.046746009305198677e+05
6.544956916703101931e-10,3.839112131096198573e+05
6.578202404822717774e-10,-2.922806204843209125e+05
6.611616765326706902e-10,-8.330696762006072095e+05
6.645200856012187156e-10,-1.005260359756325139e+06
6.678955539033431644e-10,-7.359555613016389543e+05
6.712881680924101285e-10,-1.468237871805893665e+05
6.746980152619461846e-10,4.975707454824769520e+05
6.781251829478747806e-10,9.069455481095786672e+05
6.815697591307631684e-10,8.968520420769467019e+05
6.850318322380810202e-10,4.746799141952677746e+05
6.885114911464703157e-10,-1.612762564248917915e+05
6.920088251840243284e-10,-7.120938474958474981e+05
6.955239241325922534e-10,-9.181205236766821472e+05
6.990568782300665694e-10,-6.833194011925886152e+05
7.026077781727113450e-10,-1.236427878837967874e+05
7.061767151174876499e-10,4.866282099237283692e+05
7.097637806843935461e-10,8.475165180187746882e+05
7.133690669588160720e-10,7.817608148329718970e+05
7.169926664938957385e-10,3.251242249376401305e+05
7.206346723129014677e-10,-2.889419413335074787e+05
7.242951779116198010e-10,-7.459375657076529460e+05
7.279742772607514479e-10,-8.113506819108796772e+05
7.316720648083354423e-10,-4.537261889316873276e+05
7.353886354821564448e-10,1.362356546517010429e+05
7.391240846921931972e-10,6.440113493075462757e+05
7.428785083330648061e-10,7.981787105192809831e+05
7.466520027864929492e-10,5.177465043684852426e+05
7.504446649237756621e-10,-4.119171763019018545e+04
7.542565921082742574e-10,-5.685507813637179788e+05
7.580878821979130637e-10,-7.709236288910965668e+05
7.619386335476914705e-10,-5.367335137052250793e+05
7.658089450122055877e-10,-1.817837186133998557e+03
7.696989159481982372e-10,5.252877284600237617e+05
7.736086462170915726e-10,7.397123235282985261e+05
7.775382361875628165e-10,5.183535393369247322e+05
7.814877867381175160e-10,-5.236254449615147678e+03
7.854573992596792384e-10,-5.172069263205451425e+05
7.894471756581932253e-10,-7.098259906466397224e+05
7.934572183572413178e-10,-4.683590822715898976e+05
7.974876303006719769e-10,5.626574901785548718e+04
8.015385149552431257e-10,5.375334738964952994e+05
8.056099763132747106e-10,6.751604761520775501e+05
8.097021188953313519e-10,3.847521015120397205e+05
8.138150477528863819e-10,-1.457934181070672930e+05
8.179488684710313785e-10,-5.737662913809919264e+05
8.221036871711834241e-10,-6.221234158070224803e+05
8.262796105138096318e-10,-2.618230454401590396e+05
8.304767457011646992e-10,2.659914188863536692e+05
8.346952004800439727e-10,6.077102879777527414e+05
8.389350831445488155e-10,5.343113338478375226e+05
8.431965025388629362e-10,9.868885033989646763e+04
8.474795680600609767e-10,-3.972652976261143922e+05
8.517843896608960078e-10,-6.091101072575399885e+05
8.561110778526359315e-10,-3.904941687857454526e+05
8.604597437078971947e-10,1.009901216110509413e+05
8.648304988634953575e-10,5.126920079984285985e+05
8.692234555233127211e-10,5.486000925904409960e+05
8.736387264611769166e-10,1.853271836680455890e+05
8.780764250237569676e-10,-3.075451162953999592e+05
8.825366651334728983e-10,-5.637705065837292932e+05
8.870195612914169212e-10,-3.933538545394551475e+05
8.915252285803064725e-10,7.193891302209233982e+04
8.960537826674181181e-10,4.752392868351487559e+05
9.006053398075701601e-10,5.066489146649786271e+05
9.051800168461041060e-10,1.444905440433113545e+05
9.097779312218842321e-10,-3.243122961288343067e+05
9.143992009703125538e-10,-5.278569914647467667e+05
9.190439447263581677e-10,-3.054154817911089631e+05
9.237122817276042746e-10,1.604522052338740905e+05
9.284043318173071972e-10,4.886662510927023250e+05
9.331202154474710099e-10,4.105086226808447391e+05
9.378600536819539125e-10,-6.126416890021261679e+03
9.426239681995536141e-10,-4.098284237211128348e+05
9.474120812971458626e-10,-4.594412508409197326e+05
9.522245158928209074e-10,-1.152891339558065811e+05
9.570613955290385723e-10,3.233343825429229764e+05
9.619228443757992533e-10,4.744708325170491589e+05
9.668089872338322854e-10,2.077332600501441048e+05
9.717199495377998204e-10,-2.375025812159827328e+05
9.766558573595166276e-10,-4.619034747193476651e+05
9.816168374111818877e-10,-2.647179488763330155e+05
9.866030170486494522e-10,1.713199743286726880e+05
9.916145242746728725e-10,4.436688999171154574e+05
9.966514877422060572e-10,3.010137528642312391e+05
1.001714036757704137e-09,-1.198927163183805533e+05
1.006802301284440871e-09,-4.191814733511704835e+05
1.011916411945846944e-09,-3.124033092405212228e+05
1.017056500028861492e-09,9.454608387322408089e+04
1.022222697487304312e-09,4.040509914151821285e+05
1.027415136945256963e-09,3.135118306357578840e+05
1.032633951700485848e-09,-8.435036308431852376e+04
1.037879275727838407e-09,-3.898354896628290880e+05
1.043151243682699701e-09,-2.958605607955554733e+05
1.048449990904443821e-09,9.887139881344907917e+04
1.053775653419909911e-09,3.868727159854014171e+05
1.059128367946892658e-09,2.707618844427079312e+05
1.064508271897652853e-09,-1.248660570072128903e+05
1.069915503382445310e-09,-3.804495830344670685e+05
1.075350201213063341e-09,-2.250888336279805808e+05
1.080812504906398522e-09,1.710488046304994205e+05
1.086302554688039761e-09,3.766341702379742055e+05
1.091820491495847126e-09,1.683967277291808277e+05
1.097366456983586898e-09,-2.204421206770226709e+05
1.102940593524563920e-09,-3.552932591294919257e+05
