# q/kF, wp(q)/wp(0)
 (5.358717434869739726e-01+0.000000000000000000e+00j), (9.712829193651852933e-01+0.000000000000000000e+00j)
 (5.416833667334669533e-01+0.000000000000000000e+00j), (9.707016930754988060e-01+0.000000000000000000e+00j)
 (5.474949899799599340e-01+0.000000000000000000e+00j), (9.701164478315720263e-01+0.000000000000000000e+00j)
 (5.533066132264529147e-01+0.000000000000000000e+00j), (9.695272770848777366e-01+0.000000000000000000e+00j)
 (5.591182364729458953e-01+0.000000000000000000e+00j), (9.689342765784824119e-01+0.000000000000000000e+00j)
 (5.649298597194388760e-01+0.000000000000000000e+00j), (9.683375444035271506e-01+0.000000000000000000e+00j)
 (5.707414829659318567e-01+0.000000000000000000e+00j), (9.677371810571928634e-01+0.000000000000000000e+00j)
 (5.765531062124248374e-01+0.000000000000000000e+00j), (9.671332895026095722e-01+0.000000000000000000e+00j)
 (5.823647294589178181e-01+0.000000000000000000e+00j), (9.665259752301081919e-01+0.000000000000000000e+00j)
 (5.881763527054107987e-01+0.000000000000000000e+00j), (9.659153463209132484e-01+0.000000000000000000e+00j)
 (5.939879759519037794e-01+0.000000000000000000e+00j), (9.653015135121393309e-01+0.000000000000000000e+00j)
 (5.997995991983967601e-01+0.000000000000000000e+00j), (9.646845902639842318e-01+0.000000000000000000e+00j)
 (6.056112224448897408e-01+0.000000000000000000e+00j), (9.640646928290915740e-01+0.000000000000000000e+00j)
 (6.114228456913827214e-01+0.000000000000000000e+00j), (9.634419403238186908e-01+0.000000000000000000e+00j)
 (6.172344689378757021e-01+0.000000000000000000e+00j), (9.628164548018479652e-01+0.000000000000000000e+00j)
 (6.230460921843686828e-01+0.000000000000000000e+00j), (9.621883613297970150e-01+0.000000000000000000e+00j)
 (6.288577154308616635e-01+0.000000000000000000e+00j), (9.615577880655470366e-01+0.000000000000000000e+00j)
 (6.346693386773546441e-01+0.000000000000000000e+00j), (9.609248663386728007e-01+0.000000000000000000e+00j)
 (6.404809619238476248e-01+0.000000000000000000e+00j), (9.602897307336750732e-01+0.000000000000000000e+00j)
 (6.462925851703406055e-01+0.000000000000000000e+00j), (9.596525191755452822e-01+0.000000000000000000e+00j)
 (6.521042084168335862e-01+0.000000000000000000e+00j), (9.590133730182859306e-01+0.000000000000000000e+00j)
 (6.579158316633265668e-01+0.000000000000000000e+00j), (9.583724371362463135e-01+0.000000000000000000e+00j)
 (6.637274549098196585e-01+0.000000000000000000e+00j), (9.577298600181480825e-01+0.000000000000000000e+00j)
 (6.695390781563126392e-01+0.000000000000000000e+00j), (9.570857938645599416e-01+0.000000000000000000e+00j)
 (6.753507014028056199e-01+0.000000000000000000e+00j), (9.564403946881402385e-01+0.000000000000000000e+00j)
 (6.811623246492986006e-01+0.000000000000000000e+00j), (9.557938224174920006e-01+1.879003127499093464e-22j)
 (6.869739478957915813e-01+0.000000000000000000e+00j), (9.551462410042421691e-01+0.000000000000000000e+00j)
 (6.927855711422845619e-01+0.000000000000000000e+00j), (9.544978185338225396e-01+0.000000000000000000e+00j)
 (6.985971943887775426e-01+0.000000000000000000e+00j), (9.538487273398840172e-01+0.000000000000000000e+00j)
 (7.044088176352705233e-01+0.000000000000000000e+00j), (9.531991441226056461e-01+0.000000000000000000e+00j)
 (7.102204408817635040e-01+0.000000000000000000e+00j), (9.525492500710986965e-01+0.000000000000000000e+00j)
 (7.160320641282564846e-01+0.000000000000000000e+00j), (9.518992309898396398e-01+0.000000000000000000e+00j)
 (7.218436873747494653e-01+0.000000000000000000e+00j), (9.512492774297022224e-01+0.000000000000000000e+00j)
 (7.276553106212424460e-01+0.000000000000000000e+00j), (9.505995848233075307e-01+0.000000000000000000e+00j)
 (7.334669338677353156e-01+0.000000000000000000e+00j), (9.499503536253599556e-01+0.000000000000000000e+00j)
 (7.392785571142284073e-01+0.000000000000000000e+00j), (9.493017894578011928e-01+0.000000000000000000e+00j)
 (7.450901803607213880e-01+0.000000000000000000e+00j), (9.486541032601876200e-01+0.000000000000000000e+00j)
 (7.509018036072144797e-01+0.000000000000000000e+00j), (9.480075114454286078e-01+0.000000000000000000e+00j)
 (7.567134268537073494e-01+0.000000000000000000e+00j), (9.473622360612923288e-01+0.000000000000000000e+00j)
 (7.625250501002003300e-01+0.000000000000000000e+00j), (9.467185049576916089e-01+0.000000000000000000e+00j)
 (7.683366733466933107e-01+0.000000000000000000e+00j), (9.460765519601878060e-01+0.000000000000000000e+00j)
 (7.741482965931864024e-01+0.000000000000000000e+00j), (9.454366170499566291e-01+0.000000000000000000e+00j)
 (7.799599198396792721e-01+0.000000000000000000e+00j), (9.447989465505106654e-01+0.000000000000000000e+00j)
 (7.857715430861723638e-01+0.000000000000000000e+00j), (9.441637933214506173e-01+0.000000000000000000e+00j)
 (7.915831663326652334e-01+0.000000000000000000e+00j), (9.435314169596378253e-01+0.000000000000000000e+00j)
 (7.973947895791583251e-01+0.000000000000000000e+00j), (9.429020840081570043e-01+0.000000000000000000e+00j)
 (8.032064128256513058e-01+0.000000000000000000e+00j), (9.422760681733268751e-01+0.000000000000000000e+00j)
 (8.090180360721443975e-01+0.000000000000000000e+00j), (9.416536505502900445e-01+0.000000000000000000e+00j)
 (8.148296593186372672e-01+0.000000000000000000e+00j), (9.410351198575425125e-01+0.000000000000000000e+00j)
 (8.206412825651302478e-01+0.000000000000000000e+00j), (9.404207726807869427e-01+0.000000000000000000e+00j)
 (8.264529058116232285e-01+0.000000000000000000e+00j), (9.398109137267348645e-01+0.000000000000000000e+00j)
 (8.322645290581163202e-01+0.000000000000000000e+00j), (9.392058560871685557e-01+0.000000000000000000e+00j)
 (8.380761523046091899e-01+0.000000000000000000e+00j), (9.386059215139391787e-01+0.000000000000000000e+00j)
 (8.438877755511021705e-01+0.000000000000000000e+00j), (9.380114407054198633e-01+0.000000000000000000e+00j)
 (8.496993987975951512e-01+0.000000000000000000e+00j), (9.374227536049690723e-01+0.000000000000000000e+00j)
 (8.555110220440880209e-01+0.000000000000000000e+00j), (9.368402097121205641e-01+0.000000000000000000e+00j)
 (8.613226452905811126e-01+0.000000000000000000e+00j), (9.362641684071288939e-01+0.000000000000000000e+00j)
 (8.671342685370740933e-01+0.000000000000000000e+00j), (9.356949992896259616e-01+0.000000000000000000e+00j)
 (8.729458917835670739e-01+0.000000000000000000e+00j), (9.351330825321332307e-01+0.000000000000000000e+00j)
 (8.787575150300599436e-01+0.000000000000000000e+00j), (9.345788092492857135e-01+0.000000000000000000e+00j)
 (8.845691382765530353e-01+0.000000000000000000e+00j), (9.340325818836696659e-01+0.000000000000000000e+00j)
 (8.903807615230460160e-01+0.000000000000000000e+00j), (9.334948146091238685e-01+0.000000000000000000e+00j)
 (8.961923847695391077e-01+0.000000000000000000e+00j), (9.329659337527097529e-01+0.000000000000000000e+00j)
 (9.020040080160319773e-01+0.000000000000000000e+00j), (9.324463782362145681e-01+0.000000000000000000e+00j)
 (9.078156312625250690e-01+0.000000000000000000e+00j), (9.319366000385175264e-01+0.000000000000000000e+00j)
 (9.136272545090179387e-01+0.000000000000000000e+00j), (9.314370646800149700e-01+0.000000000000000000e+00j)
 (9.194388777555110304e-01+0.000000000000000000e+00j), (9.309482517304543681e-01+0.000000000000000000e+00j)
 (9.252505010020040110e-01+0.000000000000000000e+00j), (9.304706553416310921e-01+0.000000000000000000e+00j)
 (9.310621242484969917e-01+0.000000000000000000e+00j), (9.300047848065305933e-01+0.000000000000000000e+00j)
 (9.368737474949898614e-01+0.000000000000000000e+00j), (9.295511651465703240e-01+0.000000000000000000e+00j)
 (9.426853707414829531e-01+0.000000000000000000e+00j), (9.291103377287974752e-01+1.918039705365311880e-22j)
 (9.484969939879759337e-01+0.000000000000000000e+00j), (9.286828609150116209e-01+0.000000000000000000e+00j)
 (9.543086172344690254e-01+0.000000000000000000e+00j), (9.282693107449166980e-01+1.888037465898915953e-22j)
 (9.601202404809618951e-01+0.000000000000000000e+00j), (9.278702816556616551e-01+1.871009037770408507e-22j)
 (9.659318637274548758e-01+0.000000000000000000e+00j), (9.274863872402505649e-01+1.852521491251727174e-22j)
 (9.717434869739478565e-01+0.000000000000000000e+00j), (9.271182610475720010e-01-1.832486648931258228e-22j)
 (9.775551102204409482e-01+0.000000000000000000e+00j), (9.267665574270232964e-01+0.000000000000000000e+00j)
 (9.833667334669338178e-01+0.000000000000000000e+00j), (9.264319524209547740e-01+0.000000000000000000e+00j)
 (9.891783567134267985e-01+0.000000000000000000e+00j), (9.261151447085248511e-01+0.000000000000000000e+00j)
 (9.949899799599197792e-01+0.000000000000000000e+00j), (9.258168566047652037e-01+1.734864198139047473e-22j)
 (1.000801603206412871e+00+0.000000000000000000e+00j), (9.255378351192034003e-01+0.000000000000000000e+00j)
 (1.006613226452905741e+00+0.000000000000000000e+00j), (9.252788530786144605e-01+0.000000000000000000e+00j)
 (1.012424849699398832e+00+0.000000000000000000e+00j), (9.250407103190777525e-01-1.639940588813620844e-22j)
 (1.018236472945891702e+00+0.000000000000000000e+00j), (9.248242349529908202e-01+0.000000000000000000e+00j)
 (1.024048096192384794e+00+0.000000000000000000e+00j), (9.246302847172458428e-01-1.564133397854470402e-22j)
