# q/kF, wp(q)/epsF
 (6.811623246492984896e-01+0.000000000000000000e+00j), (5.520121528777670317e-02+0.000000000000000000e+00j)
 (6.869739478957915813e-01+0.000000000000000000e+00j), (5.522743924691365935e-02+0.000000000000000000e+00j)
 (6.927855711422845619e-01+0.000000000000000000e+00j), (5.525467822434328852e-02+2.143050865847341700e-30j)
 (6.985971943887774316e-01+0.000000000000000000e+00j), (5.528296145757554542e-02+0.000000000000000000e+00j)
 (7.044088176352705233e-01+0.000000000000000000e+00j), (5.531231895062369008e-02+2.862227589473632970e-30j)
 (7.102204408817635040e-01+0.000000000000000000e+00j), (5.534278149832176641e-02+0.000000000000000000e+00j)
 (7.160320641282564846e-01+0.000000000000000000e+00j), (5.537438071168308829e-02+0.000000000000000000e+00j)
 (7.218436873747495763e-01+0.000000000000000000e+00j), (5.540714904435847105e-02+0.000000000000000000e+00j)
 (7.276553106212424460e-01+0.000000000000000000e+00j), (5.544111982025843460e-02+5.032270287745644549e-30j)
 (7.334669338677354267e-01+0.000000000000000000e+00j), (5.547632726241027296e-02+0.000000000000000000e+00j)
 (7.392785571142285184e-01+0.000000000000000000e+00j), (5.551280652312288316e-02+0.000000000000000000e+00j)
 (7.450901803607213880e-01+0.000000000000000000e+00j), (5.555059371554318948e-02+7.610673175806113737e-30j)
 (7.509018036072143687e-01+0.000000000000000000e+00j), (5.558972594668808859e-02+0.000000000000000000e+00j)
 (7.567134268537072384e-01+0.000000000000000000e+00j), (5.563024135205134335e-02-9.995303882555407530e-30j)
 (7.625250501002003300e-01+0.000000000000000000e+00j), (5.567217913188225037e-02+1.144633533466329996e-29j)
 (7.683366733466933107e-01+0.000000000000000000e+00j), (5.571557958925477116e-02+1.310298849296808378e-29j)
 (7.741482965931862914e-01+0.000000000000000000e+00j), (5.576048417004172281e-02+0.000000000000000000e+00j)
 (7.799599198396792721e-01+0.000000000000000000e+00j), (5.580693550493238952e-02-1.715564582202213175e-29j)
 (7.857715430861723638e-01+0.000000000000000000e+00j), (5.585497745363365851e-02+0.000000000000000000e+00j)
 (7.915831663326653445e-01+0.000000000000000000e+00j), (5.590465515141321284e-02+0.000000000000000000e+00j)
 (7.973947895791583251e-01+0.000000000000000000e+00j), (5.595601505816039795e-02+0.000000000000000000e+00j)
 (8.032064128256513058e-01+0.000000000000000000e+00j), (5.600910501015065462e-02+0.000000000000000000e+00j)
 (8.090180360721442865e-01+0.000000000000000000e+00j), (5.606397427472269851e-02-3.359731554546361608e-29j)
 (8.148296593186372672e-01+0.000000000000000000e+00j), (5.612067360809886579e-02+0.000000000000000000e+00j)
 (8.206412825651303589e-01+0.000000000000000000e+00j), (5.617925531659931360e-02+4.399947989511506627e-29j)
 (8.264529058116232285e-01+0.000000000000000000e+00j), (5.623977332153063530e-02+0.000000000000000000e+00j)
 (8.322645290581162092e-01+0.000000000000000000e+00j), (5.630228322805735236e-02+0.000000000000000000e+00j)
 (8.380761523046090788e-01+0.000000000000000000e+00j), (5.636684239839954980e-02+0.000000000000000000e+00j)
 (8.438877755511021705e-01+0.000000000000000000e+00j), (5.643351002973789887e-02+0.000000000000000000e+00j)
 (8.496993987975951512e-01+0.000000000000000000e+00j), (5.650234723725280905e-02-8.700973662816658223e-29j)
 (8.555110220440881319e-01+0.000000000000000000e+00j), (5.657341714277150380e-02+0.000000000000000000e+00j)
 (8.613226452905811126e-01+0.000000000000000000e+00j), (5.664678496955700276e-02-1.148351092368798533e-28j)
 (8.671342685370740933e-01+0.000000000000000000e+00j), (5.672251814383778151e-02+0.000000000000000000e+00j)
 (8.729458917835670739e-01+0.000000000000000000e+00j), (5.680068640375108419e-02+0.000000000000000000e+00j)
 (8.787575150300601656e-01+0.000000000000000000e+00j), (5.688136191646394474e-02+0.000000000000000000e+00j)
 (8.845691382765530353e-01+0.000000000000000000e+00j), (5.696461940433323462e-02+2.024912186134795133e-28j)
 (8.903807615230460160e-01+0.000000000000000000e+00j), (5.705053628108817942e-02+0.000000000000000000e+00j)
 (8.961923847695388856e-01+0.000000000000000000e+00j), (5.713919279915370686e-02+0.000000000000000000e+00j)
 (9.020040080160319773e-01+0.000000000000000000e+00j), (5.723067220939664912e-02-3.142897163353404906e-28j)
 (9.078156312625250690e-01+0.000000000000000000e+00j), (5.732506093476706643e-02+0.000000000000000000e+00j)
 (9.136272545090180497e-01+0.000000000000000000e+00j), (5.742244875953231992e-02+0.000000000000000000e+00j)
 (9.194388777555109193e-01+0.000000000000000000e+00j), (5.752292903606953667e-02+4.957820344043783186e-28j)
 (9.252505010020040110e-01+0.000000000000000000e+00j), (5.762659891150193059e-02+0.000000000000000000e+00j)
 (9.310621242484969917e-01+0.000000000000000000e+00j), (5.773355957684995349e-02+0.000000000000000000e+00j)
 (9.368737474949899724e-01+0.000000000000000000e+00j), (5.784391654183006909e-02-7.984856335845033695e-28j)
 (9.426853707414829531e-01+0.000000000000000000e+00j), (5.795777993899858122e-02-9.411983754932931619e-28j)
 (9.484969939879759337e-01+0.000000000000000000e+00j), (5.807526486162494644e-02+0.000000000000000000e+00j)
 (9.543086172344689144e-01+0.000000000000000000e+00j), (5.819649174052460988e-02+1.320689152890827616e-27j)
 (9.601202404809620061e-01+0.000000000000000000e+00j), (5.832158676612858583e-02+0.000000000000000000e+00j)
 (9.659318637274548758e-01+0.000000000000000000e+00j), (5.845068236337282869e-02+0.000000000000000000e+00j)
 (9.717434869739478565e-01+0.000000000000000000e+00j), (5.858391772863247304e-02+0.000000000000000000e+00j)
 (9.775551102204407261e-01+0.000000000000000000e+00j), (5.872143944000854376e-02-2.730110326015942863e-27j)
 (9.833667334669338178e-01+0.000000000000000000e+00j), (5.886340215494056255e-02+0.000000000000000000e+00j)
 (9.891783567134267985e-01+0.000000000000000000e+00j), (5.900996941446053773e-02+0.000000000000000000e+00j)
 (9.949899799599196681e-01+0.000000000000000000e+00j), (5.916131456531383698e-02+0.000000000000000000e+00j)
 (1.000801603206412871e+00+0.000000000000000000e+00j), (5.931762185313695784e-02+0.000000000000000000e+00j)
 (1.006613226452905741e+00+0.000000000000000000e+00j), (5.947908769045221616e-02+0.000000000000000000e+00j)
 (1.012424849699398832e+00+0.000000000000000000e+00j), (5.964592216913225386e-02+0.000000000000000000e+00j)
 (1.018236472945891702e+00+0.000000000000000000e+00j), (5.981835087015961727e-02+0.000000000000000000e+00j)
 (1.024048096192384794e+00+0.000000000000000000e+00j), (5.999661705466466377e-02+0.000000000000000000e+00j)
 (1.029859719438877885e+00+0.000000000000000000e+00j), (6.018098434878131620e-02+0.000000000000000000e+00j)
 (1.035671342685370755e+00+0.000000000000000000e+00j), (6.037174007861815378e-02-4.584541116942424804e-31j)
 (1.041482965931863847e+00+0.000000000000000000e+00j), (6.056919947709052399e-02+8.413220399463700045e-31j)
 (1.047294589178356716e+00+0.000000000000000000e+00j), (6.077371108494581536e-02+0.000000000000000000e+00j)
 (1.053106212424849808e+00+0.000000000000000000e+00j), (6.098566382778142919e-02+0.000000000000000000e+00j)
 (1.058917835671342678e+00+0.000000000000000000e+00j), (6.120549651296256638e-02-7.073053872500412304e-30j)
 (1.064729458917835769e+00+0.000000000000000000e+00j), (6.143371093976844610e-02+0.000000000000000000e+00j)
 (1.070541082164328639e+00+0.000000000000000000e+00j), (6.167089062657601234e-02+0.000000000000000000e+00j)
 (1.076352705410821731e+00+0.000000000000000000e+00j), (6.191772871286196217e-02-1.327741850439383216e-28j)
 (1.082164328657314600e+00+0.000000000000000000e+00j), (6.217507180934939148e-02+0.000000000000000000e+00j)
 (1.087975951903807692e+00+0.000000000000000000e+00j), (6.244399391618353501e-02+0.000000000000000000e+00j)
 (1.093787575150300562e+00+0.000000000000000000e+00j), (6.272593362068740186e-02+0.000000000000000000e+00j)
 (1.099599198396793653e+00+0.000000000000000000e+00j), (6.302298805593069264e-02+1.629307291128199657e-14j)
 (1.105410821643286745e+00+0.000000000000000000e+00j), (6.333871572704197206e-02+4.086492008346614102e-15j)
