# q/kF, wp(q)/epsF
 (6.927855711422845619e-01+0.000000000000000000e+00j), (2.770131501341592702e-03+1.066773313719628432e-23j)
 (6.985971943887775426e-01+0.000000000000000000e+00j), (2.765804637320503408e-03+0.000000000000000000e+00j)
 (7.044088176352705233e-01+0.000000000000000000e+00j), (2.761439369541183325e-03-1.079523877585868610e-23j)
 (7.102204408817635040e-01+0.000000000000000000e+00j), (2.757035674264006302e-03+0.000000000000000000e+00j)
 (7.160320641282564846e-01+0.000000000000000000e+00j), (2.752593529259913033e-03+1.092541426321785295e-23j)
 (7.218436873747494653e-01+0.000000000000000000e+00j), (2.748112913879133430e-03+0.000000000000000000e+00j)
 (7.276553106212424460e-01+0.000000000000000000e+00j), (2.743593809126277597e-03+0.000000000000000000e+00j)
 (7.334669338677354267e-01+0.000000000000000000e+00j), (2.739036197735664029e-03+0.000000000000000000e+00j)
 (7.392785571142284073e-01+0.000000000000000000e+00j), (2.734440064251848074e-03+1.119417982009136858e-23j)
 (7.450901803607213880e-01+0.000000000000000000e+00j), (2.729805395110397603e-03+1.126320235762626538e-23j)
 (7.509018036072143687e-01+0.000000000000000000e+00j), (2.725132178724119173e-03-1.133298552945430537e-23j)
 (7.567134268537073494e-01+0.000000000000000000e+00j), (2.720420405570934778e-03+0.000000000000000000e+00j)
 (7.625250501002003300e-01+0.000000000000000000e+00j), (2.715670068286060290e-03+0.000000000000000000e+00j)
 (7.683366733466933107e-01+0.000000000000000000e+00j), (2.710881161757463815e-03+0.000000000000000000e+00j)
 (7.741482965931861804e-01+0.000000000000000000e+00j), (2.706053683224240568e-03+0.000000000000000000e+00j)
 (7.799599198396792721e-01+0.000000000000000000e+00j), (2.701187632380864113e-03+0.000000000000000000e+00j)
 (7.857715430861723638e-01+0.000000000000000000e+00j), (2.696283011482787217e-03+1.176851123748409973e-23j)
 (7.915831663326652334e-01+0.000000000000000000e+00j), (2.691339825459234877e-03+1.184405435472652962e-23j)
 (7.973947895791583251e-01+0.000000000000000000e+00j), (2.686358012119893866e-03+0.000000000000000000e+00j)
 (8.032064128256513058e-01+0.000000000000000000e+00j), (2.681337719914485881e-03+0.000000000000000000e+00j)
 (8.090180360721442865e-01+0.000000000000000000e+00j), (2.676278894539805761e-03+0.000000000000000000e+00j)
 (8.148296593186372672e-01+0.000000000000000000e+00j), (2.671181552822883727e-03+0.000000000000000000e+00j)
 (8.206412825651302478e-01+0.000000000000000000e+00j), (2.666045714891566217e-03+0.000000000000000000e+00j)
 (8.264529058116232285e-01+0.000000000000000000e+00j), (2.660871404317660064e-03+0.000000000000000000e+00j)
 (8.322645290581163202e-01+0.000000000000000000e+00j), (2.655658648264083450e-03+0.000000000000000000e+00j)
 (8.380761523046091899e-01+0.000000000000000000e+00j), (2.650407477639125323e-03+0.000000000000000000e+00j)
 (8.438877755511021705e-01+0.000000000000000000e+00j), (2.645117927257579962e-03-2.608025353870876571e-28j)
 (8.496993987975951512e-01+0.000000000000000000e+00j), (2.639790036008047170e-03+0.000000000000000000e+00j)
 (8.555110220440881319e-01+0.000000000000000000e+00j), (2.634423847028385685e-03+0.000000000000000000e+00j)
 (8.613226452905811126e-01+0.000000000000000000e+00j), (2.629019407888667521e-03+0.000000000000000000e+00j)
 (8.671342685370740933e-01+0.000000000000000000e+00j), (2.623576770782090790e-03+2.920070657057776000e-28j)
 (8.729458917835671850e-01+0.000000000000000000e+00j), (2.618095992724390943e-03+3.004018045805771307e-28j)
 (8.787575150300600546e-01+0.000000000000000000e+00j), (2.612577135763024996e-03+0.000000000000000000e+00j)
 (8.845691382765530353e-01+0.000000000000000000e+00j), (2.607020267195054534e-03+0.000000000000000000e+00j)
 (8.903807615230460160e-01+0.000000000000000000e+00j), (2.601425459795612266e-03+0.000000000000000000e+00j)
 (8.961923847695389966e-01+0.000000000000000000e+00j), (2.595792792056798599e-03+0.000000000000000000e+00j)
 (9.020040080160319773e-01+0.000000000000000000e+00j), (2.590122348437723810e-03+0.000000000000000000e+00j)
 (9.078156312625250690e-01+0.000000000000000000e+00j), (2.584414219626823394e-03-3.564393629928542366e-28j)
 (9.136272545090180497e-01+0.000000000000000000e+00j), (2.578668502815910108e-03+3.668176724243873877e-28j)
 (9.194388777555110304e-01+0.000000000000000000e+00j), (2.572885301988201388e-03+0.000000000000000000e+00j)
 (9.252505010020040110e-01+0.000000000000000000e+00j), (2.567064728219851152e-03+0.000000000000000000e+00j)
 (9.310621242484969917e-01+0.000000000000000000e+00j), (2.561206899996558081e-03+0.000000000000000000e+00j)
 (9.368737474949899724e-01+0.000000000000000000e+00j), (2.555311943545530984e-03+0.000000000000000000e+00j)
 (9.426853707414829531e-01+0.000000000000000000e+00j), (2.549379993184156066e-03-4.238560587816491569e-28j)
 (9.484969939879759337e-01+0.000000000000000000e+00j), (2.543411191686411298e-03-4.363865733939172729e-28j)
 (9.543086172344688034e-01+0.000000000000000000e+00j), (2.537405690667329274e-03+0.000000000000000000e+00j)
 (9.601202404809618951e-01+0.000000000000000000e+00j), (2.531363650987747665e-03+4.626887016410723383e-28j)
 (9.659318637274548758e-01+0.000000000000000000e+00j), (2.525285243179473463e-03+0.000000000000000000e+00j)
 (9.717434869739478565e-01+0.000000000000000000e+00j), (2.519170647892892811e-03+0.000000000000000000e+00j)
 (9.775551102204408371e-01+0.000000000000000000e+00j), (2.513020056368232488e-03+0.000000000000000000e+00j)
 (9.833667334669338178e-01+0.000000000000000000e+00j), (2.506833670931336942e-03+5.207327612458095198e-28j)
 (9.891783567134267985e-01+0.000000000000000000e+00j), (2.500611705516398581e-03+0.000000000000000000e+00j)
 (9.949899799599196681e-01+0.000000000000000000e+00j), (2.494354386217013941e-03+0.000000000000000000e+00j)
 (1.000801603206412871e+00+0.000000000000000000e+00j), (2.488061951866988187e-03+0.000000000000000000e+00j)
 (1.006613226452905741e+00+0.000000000000000000e+00j), (2.481734654653209443e-03+0.000000000000000000e+00j)
 (1.012424849699398832e+00+0.000000000000000000e+00j), (2.475372760762933541e-03+0.000000000000000000e+00j)
 (1.018236472945891702e+00+0.000000000000000000e+00j), (2.468976551066808401e-03+0.000000000000000000e+00j)
 (1.024048096192384794e+00+0.000000000000000000e+00j), (2.462546321841109238e-03+0.000000000000000000e+00j)
 (1.029859719438877885e+00+0.000000000000000000e+00j), (2.456082385531068932e-03-6.631552520804878297e-28j)
 (1.035671342685370755e+00+0.000000000000000000e+00j), (2.449585071558295531e-03+0.000000000000000000e+00j)
 (1.041482965931863847e+00+0.000000000000000000e+00j), (2.443054727175495659e-03+0.000000000000000000e+00j)
 (1.047294589178356716e+00+0.000000000000000000e+00j), (2.436491718371236459e-03+0.000000000000000000e+00j)
 (1.053106212424849808e+00+0.000000000000000000e+00j), (2.429896430828951473e-03+0.000000000000000000e+00j)
 (1.058917835671342678e+00+0.000000000000000000e+00j), (2.423269270943273490e-03+0.000000000000000000e+00j)
 (1.064729458917835769e+00+0.000000000000000000e+00j), (2.416610666898472235e-03+0.000000000000000000e+00j)
 (1.070541082164328639e+00+0.000000000000000000e+00j), (2.409921069812712667e-03+0.000000000000000000e+00j)
 (1.076352705410821731e+00+0.000000000000000000e+00j), (2.403200954953672430e-03+8.522561238190184526e-28j)
 (1.082164328657314600e+00+0.000000000000000000e+00j), (2.396450823030182690e-03+0.000000000000000000e+00j)
 (1.087975951903807692e+00+0.000000000000000000e+00j), (2.389671201565759205e-03+0.000000000000000000e+00j)
 (1.093787575150300562e+00+0.000000000000000000e+00j), (2.382862646360222204e-03-9.390291377990828613e-28j)
 (1.099599198396793653e+00+0.000000000000000000e+00j), (2.376025743045987945e-03+0.000000000000000000e+00j)
 (1.105410821643286745e+00+0.000000000000000000e+00j), (2.369161108746322981e-03+1.002733963685745985e-27j)
 (1.111222444889779615e+00+0.000000000000000000e+00j), (2.362269393843564273e-03-1.036519951364241157e-27j)
 (1.117034068136272706e+00+0.000000000000000000e+00j), (2.355351283865779292e-03+0.000000000000000000e+00j)
 (1.122845691382765576e+00+0.000000000000000000e+00j), (2.348407501501420958e-03+0.000000000000000000e+00j)
 (1.128657314629258668e+00+0.000000000000000000e+00j), (2.341438808752306384e-03+0.000000000000000000e+00j)
 (1.134468937875751537e+00+0.000000000000000000e+00j), (2.334446009236124022e-03+0.000000000000000000e+00j)
 (1.140280561122244629e+00+0.000000000000000000e+00j), (2.327429950650841683e-03+0.000000000000000000e+00j)
 (1.146092184368737277e+00+0.000000000000000000e+00j), (2.320391527414493362e-03+0.000000000000000000e+00j)
 (1.151903807615230590e+00+0.000000000000000000e+00j), (2.313331683495387960e-03+0.000000000000000000e+00j)
 (1.157715430861723460e+00+0.000000000000000000e+00j), (2.306251415449005974e-03+0.000000000000000000e+00j)
 (1.163527054108216330e+00+0.000000000000000000e+00j), (2.299151775679407570e-03+0.000000000000000000e+00j)
 (1.169338677354709422e+00+0.000000000000000000e+00j), (2.292033875945352888e-03+0.000000000000000000e+00j)
 (1.175150300601202513e+00+0.000000000000000000e+00j), (2.284898891132698066e-03+0.000000000000000000e+00j)
 (1.180961923847695383e+00+0.000000000000000000e+00j), (2.277748063317472371e-03+0.000000000000000000e+00j)
 (1.186773547094188475e+00+0.000000000000000000e+00j), (2.270582706146467410e-03+0.000000000000000000e+00j)
 (1.192585170340681344e+00+0.000000000000000000e+00j), (2.263404209564787942e-03+0.000000000000000000e+00j)
 (1.198396793587174436e+00+0.000000000000000000e+00j), (2.256214044923806738e-03+0.000000000000000000e+00j)
 (1.204208416833667306e+00+0.000000000000000000e+00j), (2.249013770505914941e-03+0.000000000000000000e+00j)
 (1.210020040080160397e+00+0.000000000000000000e+00j), (2.241805037507095012e-03+0.000000000000000000e+00j)
 (1.215831663326653267e+00+0.000000000000000000e+00j), (2.234589596523081298e-03+0.000000000000000000e+00j)
 (1.221643286573146359e+00+0.000000000000000000e+00j), (2.227369304590184115e-03+0.000000000000000000e+00j)
 (1.227454909819639450e+00+0.000000000000000000e+00j), (2.220146132838101728e-03+0.000000000000000000e+00j)
 (1.233266533066132320e+00+0.000000000000000000e+00j), (2.212922174819041601e-03+0.000000000000000000e+00j)
 (1.239078156312625412e+00+0.000000000000000000e+00j), (2.205699655585607270e-03+0.000000000000000000e+00j)
 (1.244889779559118059e+00+0.000000000000000000e+00j), (2.198480941599289477e-03+0.000000000000000000e+00j)
 (1.250701402805611373e+00+0.000000000000000000e+00j), (2.191268551561788552e-03+0.000000000000000000e+00j)
 (1.256513026052104243e+00+0.000000000000000000e+00j), (2.184065168274167829e-03+0.000000000000000000e+00j)
 (1.262324649298597556e+00+0.000000000000000000e+00j), (2.176873651642736475e-03+0.000000000000000000e+00j)
 (1.268136272545090204e+00+0.000000000000000000e+00j), (2.169697052967615482e-03+0.000000000000000000e+00j)
 (1.273947895791583296e+00+0.000000000000000000e+00j), (2.162538630668940989e-03+0.000000000000000000e+00j)
 (1.279759519038076165e+00+0.000000000000000000e+00j), (2.155401867628926535e-03+0.000000000000000000e+00j)
 (1.285571142284569257e+00+0.000000000000000000e+00j), (2.148290490354241768e-03+0.000000000000000000e+00j)
 (1.291382765531062127e+00+0.000000000000000000e+00j), (2.141208490195171694e-03+0.000000000000000000e+00j)
 (1.297194388777555218e+00+0.000000000000000000e+00j), (2.134160146895345677e-03+0.000000000000000000e+00j)
 (1.303006012024048088e+00+0.000000000000000000e+00j), (2.127150054790540121e-03-3.707558578182587045e-27j)
 (1.308817635270541180e+00+0.000000000000000000e+00j), (2.120183152028572767e-03+3.884541823558897030e-27j)
 (1.314629258517034049e+00+0.000000000000000000e+00j), (2.113264753246848256e-03+0.000000000000000000e+00j)
 (1.320440881763527141e+00+0.000000000000000000e+00j), (2.106400586222135097e-03+0.000000000000000000e+00j)
