# q/kF, int w**0 * S(q; w) dw
2.199999999999999734e+00,6.180759274515833290e+00
2.209999999999999964e+00,5.540848018966708644e+00
2.219999999999999751e+00,5.063696514776360402e+00
2.229999999999999982e+00,4.689087598158119263e+00
2.239999999999999769e+00,4.384381967029454152e+00
2.250000000000000444e+00,4.130025085802379259e+00
2.259999999999999787e+00,3.913441536466380821e+00
2.270000000000000018e+00,3.726102789031810136e+00
2.279999999999999805e+00,3.561981897775176265e+00
2.290000000000000036e+00,3.416675430219559217e+00
2.299999999999999822e+00,3.286878140104980695e+00
2.310000000000000053e+00,3.170051278372012060e+00
2.319999999999999396e+00,3.064207237780906645e+00
2.329999999999999627e+00,2.967763303252188845e+00
2.339999999999999858e+00,2.879441108882865308e+00
2.349999999999999645e+00,2.798194508441361084e+00
2.359999999999999876e+00,2.723158037610603710e+00
2.369999999999999662e+00,2.653608000194695116e+00
2.379999999999999893e+00,2.588934326075615910e+00
2.389999999999999236e+00,2.528617764663067202e+00
2.399999999999999911e+00,2.472214016970893269e+00
2.409999999999999698e+00,2.419339222810433565e+00
2.419999999999999929e+00,2.369660927486713753e+00
2.429999999999999716e+00,2.322888310303985016e+00
2.439999999999999503e+00,2.278766721783132887e+00
2.449999999999999734e+00,2.237071389931304388e+00
2.459999999999999964e+00,2.197603197536952102e+00
2.469999999999999751e+00,2.160185461670431906e+00
2.479999999999999982e+00,2.124659829345906026e+00
2.489999999999999769e+00,2.090885049893201675e+00
2.500000000000000000e+00,2.058733735396399034e+00
2.509999999999999343e+00,2.028090960986450142e+00
2.520000000000000018e+00,1.998853214778165244e+00
2.529999999999999805e+00,1.970925974998050112e+00
2.540000000000000036e+00,1.944223644064112966e+00
2.549999999999999822e+00,1.918668287247706550e+00
2.560000000000000497e+00,1.894188148799394789e+00
2.569999999999999840e+00,1.870717955864853010e+00
2.579999999999999183e+00,1.848197784639610708e+00
2.589999999999999858e+00,1.826572055216050483e+00
2.599999999999999645e+00,1.805789942439676832e+00
2.609999999999999876e+00,1.785804600720341861e+00
2.619999999999999662e+00,1.766572232702988465e+00
2.629999999999999449e+00,1.748052491647156481e+00
2.639999999999999680e+00,1.730208205456931214e+00
2.649999999999999911e+00,1.713004454257228248e+00
2.659999999999999698e+00,1.696408654127298687e+00
2.669999999999999929e+00,1.680390750258994093e+00
2.679999999999999716e+00,1.664922708038923282e+00
2.689999999999999947e+00,1.649977980646448517e+00
2.699999999999999289e+00,1.635531794212506052e+00
